"x"
"cs_ad_des"
"cs_ad_mot"
"cs_nr_mot"
"cs_nr_ori"
"cs_p12"
"cs_p13_1"
"cs_p13_2"
"cs_p14_c"
"cs_p15"
"cs_p16"
"cs_p17"
"cs_p20a_1"
"cs_p20a_c"
"cs_p20b_1"
"cs_p20b_c"
"cs_p20c_1"
"e_con"
"eda"
"est_d_men"
"l_nac_c"
"loc"
"mun"
"n_hij"
"nac_anio"
"nac_dia"
"nac_mes"
"par_c"
"sex"
"t_loc_men"
